5000	3474	1136	0.048	0.01256
10000	7437	2552	0.0764	0.02134
15000	10998	3719	0.06538	0.01498
20000	15470	5212	0.07658	0.01525
25000	19820	7362	0.1246	0.03176
30000	24382	9304	0.1824	0.04171
35000	30381	12641	0.213	0.04644
40000	33890	13252	0.2365	0.04158
45000	38521	15147	0.2481	0.04584
50000	42137	16632	0.1839	0.04906
